Documento,Setor,Processo,Protocolo
Documento de Oficialização de Demanda 25 Aquisição de equipamentos e materiais hospitalares (0040039616),SESAU-GECOMP,0036.033044/2023-11,0040039616
Despacho 0040057390,SESAU-NPPS,0036.033044/2023-11,0040057390
Memorando 862 (0040146535),SESAU-GECOMP,0036.033044/2023-11,0040146535
Informação 3246 (0040156872),SESAU-GECOMP,0036.033044/2023-11,0040156872
Memorando 864 (0040167480),SESAU-GECOMP,0036.033044/2023-11,0040167480
Autorização 0040169205,SESAU-GECOMP,0036.033044/2023-11,0040169205
Informação 1581 (0040351949),SESAU-GECOMP,0036.033044/2023-11,0040351949
SAMS - Balizamento de Valor (0040418298),SESAU-GECOMP,0036.033044/2023-11,0040418298
E-mail Solicitação de SAMS para balizamento (0040585416),SESAU-GECOMP,0036.033044/2023-11,0040585416
Adendo -BANCO DE PREÇO Bomba de infusão volumétrica (0040582527),SESAU-GECOMP,0036.033044/2023-11,0040582527
Adendo - BANCO DE PREÇO - Aparelho de Fototerapia (0040584593),SESAU-GECOMP,0036.033044/2023-11,0040584593
Adendo - BANCO DE PREÇO - Bilirrubinometro Transcutaneo (0040584679),SESAU-GECOMP,0036.033044/2023-11,0040584679
Adendo - BANCO DE PREÇO - Estetoscópio Neonatal (0040585306),SESAU-GECOMP,0036.033044/2023-11,0040585306
Adendo - BANCO DE PREÇO - Balança digital pediátrica (0040585455),SESAU-GECOMP,0036.033044/2023-11,0040585455
Adendo - BANCO DE PREÇO - Aspirador cirúrgico portátil (0040585538),SESAU-GECOMP,0036.033044/2023-11,0040585538
Adendo - BANCO DE PREÇO - Banho Maria Digital (0040585591),SESAU-GECOMP,0036.033044/2023-11,0040585591
Informação 1640 (0040513071),SESAU-GECOMP,0036.033044/2023-11,0040513071
Termo de Referência 0040216314,SESAU-GECOMP,0036.033044/2023-11,0040216314
SAMS 0040216359,SESAU-GECOMP,0036.033044/2023-11,0040216359
Informação 1744 (0040738108),SESAU-GECOMP,0036.033044/2023-11,0040738108
Informação 1751 (0040747765),HRC-DG,0036.033044/2023-11,0040747765
Informação 1769 (0040780002),SESAU-GECOMP,0036.033044/2023-11,0040780002
Despacho 0040798147,SESAU-GECOMP,0036.033044/2023-11,0040798147
Informação 54 (0040961614),SESAU-GECOMP,0036.033044/2023-11,0040961614
Informação 1879 (0041051998),SESAU-GECOMP,0036.033044/2023-11,0041051998
Informação 1900 (0041081233),SESAU-GECOMP,0036.033044/2023-11,0041081233
Anexo Pesquisa Banco de Preço Item 10 (0041081011),SESAU-GECOMP,0036.033044/2023-11,0041081011
Termo de Referência DESCONSIDERAR (0041033864),SESAU-GECOMP,0036.033044/2023-11,0041033864
Termo de Referência DESCONSIDERAR (0041237369),SESAU-CO,0036.033044/2023-11,0041237369
Informação 1877 (0041034499),SESAU-GECOMP,0036.033044/2023-11,0041034499
Informação 1973 (0041207945),SESAU-GECOMP,0036.033044/2023-11,0041207945
Despacho 0041227450,SESAU-GECOMP,0036.033044/2023-11,0041227450
Informação 1986 (0041238104),SESAU-GECOMP,0036.033044/2023-11,0041238104
SAMS 0041753841,SESAU-GECOMP,0036.033044/2023-11,0041753841
E-mail - Aos Fornecedores (0041756904),SESAU-GECOMP,0036.033044/2023-11,0041756904
Adendo - MÍDIA ESPECIALIZADA SUPORTE BOMBA (0041791896),SESAU-GECOMP,0036.033044/2023-11,0041791896
Adendo - BANCO DE PREÇO ULTRASSOM PORTÁTIL (0041791871),SESAU-GECOMP,0036.033044/2023-11,0041791871
Adendo - MÍDIA ESPECIALIZADA ULTRASSOM PORTÁTIL (0041792036),SESAU-GECOMP,0036.033044/2023-11,0041792036
Relatório Pesquisa de Preço (0041759857),SESAU-GECOMP,0036.033044/2023-11,0041759857
Informação 2233 (0041884181),SESAU-GECOMP,0036.033044/2023-11,0041884181
Adendo - BANCO DE PREÇO ITEM 10 (0042738404),SESAU-GECOMP,0036.033044/2023-11,0042738404
Adendo - BANCO DE PREÇO ITEM 10. (0042738488),SESAU-GECOMP,0036.033044/2023-11,0042738488
Quadro Comparativo 0042685327,SESAU-GECOMP,0036.033044/2023-11,0042685327
Anexo guia de fiscalização do contrato (0046314063),SESAU-CO,0036.033044/2023-11,0046314063
Termo de Referência 0042743482,SESAU-GECOMP,0036.033044/2023-11,0042743482
Errata do Termo de Referência (0042940188),SESAU-GECOMP,0036.033044/2023-11,0042940188
Informação 2571 (0042807422),SESAU-GECOMP,0036.033044/2023-11,0042807422
Despacho 0042826510,SESAU-GECOMP,0036.033044/2023-11,0042826510
Informação 2575 (0042830196),SESAU-GECOMP,0036.033044/2023-11,0042830196
Informação 2604 (0042938992),SESAU-GECOMP,0036.033044/2023-11,0042938992
Aviso 1198 (0043333328),SESAU-GSG,0036.033044/2023-11,0043333328
Publicação SIASGnet-DC - Disponibilizar Dispensa 172 (0043986649),SESAU-GECOMP,0036.033044/2023-11,0043986649
Publicação Portal Nacional de Contratações Públicas 172 (0043986702),SESAU-GECOMP,0036.033044/2023-11,0043986702
Despacho 0043986712,SESAU-GECOMP,0036.033044/2023-11,0043986712
Adendo Aviso de Contratação Direta nº 00172/2023 (0044038640),SESAU-GECOMP,0036.033044/2023-11,0044038640
