Numero Processo,Nome,Data,Protocolo,Título,Texto 3,Texto 4,Texto 5,Texto 6,Texto 7,Texto 8,Texto 9
0060.114123/2021-55,Geanesson Silva Aragão Leite,16/03/2021,,SEI/RO - 0016777059 - Memorando,Memorando nº 6/2021/HRSF-GAD,Excelentíssima,MARIA JOSE DE OLIVIERA,Diretora Geral,"Endereço Destinatário, Bairro Destinatário",CEP: 76.935-000      –  São Francisco do Guaporé/RO,
0060.114123/2021-55,Técnico(a) em Segurança do Trabalho,16/03/2021,0016777059,SEI/RO - 0016777059 - Memorando,Memorando nº 6/2021/HRSF-GAD,Excelentíssima,MARIA JOSE DE OLIVIERA,Diretora Geral,"Endereço Destinatário, Bairro Destinatário",CEP: 76.935-000      –  São Francisco do Guaporé/RO,
0036.465253/2021-51,Francisca Luciana Silveira,13/10/2021,,SEI/RO - 0021244931 - Memorando,Memorando nº 133/2021/SESAU-NEEP,"Ao Excelentíssimo Senhor,",FERNANDO RODRIGUES MÁXIMO,Secretário de Estado da Saúde de Rondônia,Nesta,,Assunto:Abertura de Processo Administrativo - Proposta00733.062000/1190-17  -Material permanente (Hospital Regional de São Francisco)
0036.465253/2021-51,Assessor(a),13/10/2021,,SEI/RO - 0021244931 - Memorando,Memorando nº 133/2021/SESAU-NEEP,"Ao Excelentíssimo Senhor,",FERNANDO RODRIGUES MÁXIMO,Secretário de Estado da Saúde de Rondônia,Nesta,,Assunto:Abertura de Processo Administrativo - Proposta00733.062000/1190-17  -Material permanente (Hospital Regional de São Francisco)
0036.465253/2021-51,Assessor(a),13/10/2021,0021244931,SEI/RO - 0021244931 - Memorando,Memorando nº 133/2021/SESAU-NEEP,"Ao Excelentíssimo Senhor,",FERNANDO RODRIGUES MÁXIMO,Secretário de Estado da Saúde de Rondônia,Nesta,,Assunto:Abertura de Processo Administrativo - Proposta00733.062000/1190-17  -Material permanente (Hospital Regional de São Francisco)
0036.584414/2021-12,Geciane Viana Teixeira,10/12/2021,,SEI/RO - 0022710326 - Memorando,Memorando nº 76/2021/HC-NUPAT,,,Para: HC-GAD,Assunto:Aquisição de Material Hospitalar,,"Senhor(a),"
0036.584414/2021-12,Chefe de Unidade,10/12/2021,0022710326,SEI/RO - 0022710326 - Memorando,Memorando nº 76/2021/HC-NUPAT,,,Para: HC-GAD,Assunto:Aquisição de Material Hospitalar,,"Senhor(a),"
0036.109115/2022-75,LUIZ RICARDO MATTOS,06/12/2022,,SEI/RO - 0034202583 - Ofício,Ofício nº 30170/2022/HRSF-DG,"Ao senhor, Lucas Gabriel de Oliveira",Gerente de Compras - SESAU/GECOMP,Porto Velho-RO,,Assunto:Solicitação de Ambulância com suporte avançado,
0036.109115/2022-75,Diretor(a),06/12/2022,0034202583,SEI/RO - 0034202583 - Ofício,Ofício nº 30170/2022/HRSF-DG,"Ao senhor, Lucas Gabriel de Oliveira",Gerente de Compras - SESAU/GECOMP,Porto Velho-RO,,Assunto:Solicitação de Ambulância com suporte avançado,
0049.003281/2023-09,CID OLAVO SCARPA VASCONCELLOS,04/04/2023,,SEI/RO - 0036955906 - Despacho,DESPACHO,De:HB-DUROL,Para: HB-DG; HB-GAD; HB-DIRTEC,Processo Nº:  0049.003281/2023-09,Assunto:Solicitação Material Permanente – Ano 2023/ 2024,,
0049.003281/2023-09,Médico(a),04/04/2023,,SEI/RO - 0036955906 - Despacho,DESPACHO,De:HB-DUROL,Para: HB-DG; HB-GAD; HB-DIRTEC,Processo Nº:  0049.003281/2023-09,Assunto:Solicitação Material Permanente – Ano 2023/ 2024,,
